1 14 1 1 7	satellite.library.main.arguments.process	1 14 1 1 7
1 14 1 1 7 0	satellite.library.main.arguments.process()	1 14 1 1 7 0
1 14 1 1 7 1	satellite.library.main.arguments.process.id	1 14 1 1 7 1
1 14 1 1 7 2	satellite.library.main.arguments.process.parent	1 14 1 1 7 2
1 14 1 1 8	satellite.library.main.arguments.session	1 14 1 1 8
1 14 1 1 8 0	satellite.library.main.arguments.session()	1 14 1 1 8 0
1 14 1 1 8 1	satellite.library.main.arguments.session.shell	1 14 1 1 8 1
1 14 1 1 8 2	satellite.library.main.arguments.session.terminal	1 14 1 1 8 2
1 14 1 1 8 3	satellite.library.main.arguments.session.language	1 14 1 1 8 3
1 14 1 1 8 4	satellite.library.main.arguments.session.home	1 14 1 1 8 4
1 14 1 1 8 5	satellite.library.main.arguments.session.directory	1 14 1 1 8 5
1 14 1 1 9	satellite.library.main.arguments.length	1 14 1 1 9
1 14 2	satellite.library.system	1 14 2
1 14 2 0	satellite.library.system()	1 14 2 0
1 14 2 1	satellite.library.system.division_digits	1 14 2 1
1 14 2 2	satellite.library.system.max_depth	1 14 2 2
1 14 2 3	satellite.library.system.min_free_mb	1 14 2 3
1 14 2 4	satellite.library.system.float_digits	1 14 2 4
1 15	satellite.return	1 15
1 15 0	satellite.return()	1 15 0
1 15 1	satellite.return(satellite)	1 15 1
1 15 2	satellite.return(value)	1 15 2
1 16	satellite.analyze	1 16
1 17	satellite.bool	1 17
1 17 0	satellite.bool()	1 17 0
1 17 1	satellite.bool.false	1 17 1
1 17 2	satellite.bool.true	1 17 2
1 18	satellite.directory	1 18
1 18 0	satellite.directory()	1 18 0
1 18 1	satellite.directory.change(d)	1 18 1
1 18 2	satellite.directory.current()	1 18 2
1 18 3	satellite.directory.exists(d)	1 18 3
1 18 4	satellite.directory.list()	1 18 4
1 18 5	satellite.directory.list(d)	1 18 5
1 19	satellite.help	1 19
1 19 0	satellite.help()	1 19 0
1 19 1	satellite.help(x)	1 19 1
1 20	satellite.network	1 20
1 20 0	satellite.network()	1 20 0
1 20 1	satellite.network.http(port)	1 20 1
1 20 2	satellite.network.https(host, port)	1 20 2
1 20 3	satellite.network.new	1 20 3
1 20 4	satellite.network.open	1 20 4
1 20 5	satellite.network.receive	1 20 5
1 20 6	satellite.network.http(host, port)	1 20 6
1 20 7	satellite.network.https(port, cert, key)	1 20 7
1 21	satellite.returns	1 21
1 22	satellite.system	1 22
1 22 0	satellite.system()	1 22 0
1 22 1	satellite.system.delete(x)	1 22 1
1 22 2	satellite.system.environment	1 22 2
1 22 3	satellite.system.home	1 22 3
1 22 4	satellite.system.memory	1 22 4
1 22 4 0	satellite.system.memory()	1 22 4 0
1 22 4 1	satellite.system.memory.bit	1 22 4 1
1 22 4 2	satellite.system.memory.frequency	1 22 4 2
1 22 4 3	satellite.system.memory.main()	1 22 4 3
1 22 4 4	satellite.system.memory.swap	1 22 4 4
1 22 4 4 0	satellite.system.memory.swap()	1 22 4 4 0
1 22 4 4 1	satellite.system.memory.swap.free()	1 22 4 4 1
1 22 4 4 2	satellite.system.memory.swap.total()	1 22 4 4 2
1 22 4 4 3	satellite.system.memory.swap.used	1 22 4 4 3
1 22 4 4 4	satellite.system.memory.swap.free(unit)	1 22 4 4 4
1 22 4 4 5	satellite.system.memory.swap.total(unit)	1 22 4 4 5
1 22 4 4 6	satellite.system.memory.swap(unit)	1 22 4 4 6
1 22 4 4 7	satellite.system.memory.swap.used(unit)	1 22 4 4 7
1 22 4 5	satellite.system.memory.this	1 22 4 5
1 22 4 5 0	satellite.system.memory.this()	1 22 4 5 0
1 22 4 5 1	satellite.system.memory.this.available()	1 22 4 5 1
1 22 4 5 2	satellite.system.memory.this.free()	1 22 4 5 2
1 22 4 5 3	satellite.system.memory.this.used	1 22 4 5 3
1 22 4 5 4	satellite.system.memory.this.available(unit)	1 22 4 5 4
1 22 4 5 5	satellite.system.memory.this.free(unit)	1 22 4 5 5
1 22 4 5 6	satellite.system.memory.this.used(unit)	1 22 4 5 6
1 22 4 6	satellite.system.memory.free()	1 22 4 6
1 22 4 7	satellite.system.memory.total()	1 22 4 7
1 22 4 8	satellite.system.memory.used()	1 22 4 8
1 22 4 9	satellite.system.memory.main(unit)	1 22 4 9
1 22 4 10	satellite.system.memory.free(unit)	1 22 4 10
1 22 4 11	satellite.system.memory.total(unit)	1 22 4 11
1 22 4 12	satellite.system.memory.used(unit)	1 22 4 12
1 22 5	satellite.system.threshold()	1 22 5
1 22 6	satellite.system.threshold(n)	1 22 6
1 22 7	satellite.system.persist()	1 22 7
1 22 8	satellite.system.persist(x)	1 22 8
1 22 9	satellite.system.environment(name)	1 22 9
1 23	satellite.thread	1 23
1 23 0	satellite.thread()	1 23 0
1 23 1	satellite.thread.new	1 23 1
1 24	satellite.constructor	1 25
1 24 0	satellite.constructor()	1 25 0
1 6 16	satellite.variable.percentage	
1 14 1 1 10	satellite.library.main.arguments.access	
1 14 1 1 11	satellite.library.main.arguments.history	
1 8 6	satellite.file.open(path)	
1 14 1 1 2 2	satellite.library.main.arguments.memory.free	
1 14 1 1 2 3	satellite.library.main.arguments.memory.used	
1 14 1 1 12	satellite.library.main.arguments.directory	
1 14 1 1 13	satellite.library.main.arguments.cores	
1 14 1 1 14	satellite.library.main.arguments.threads	
1 14 1 1 15	satellite.library.main.arguments.user	
1 14 1 1 16	satellite.library.main.arguments.ram	
1 14 1 1 17	satellite.library.main.arguments.dir	
1 25	satellite.feedback	
1 25 0	satellite.feedback()	
1 25 1	satellite.feedback(x)	
